benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.8,140.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,11.3,0,11.3,65.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,unsat,20.4,0,20.2,83.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,unsat,22.7,0,22.6,66.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,880.0,0,880.0,101.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,ok,unsat,20.4,0,20.4,69.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,ok,unsat,2.2,0,2.0,17.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,ok,unsat,4.7,0,4.5,52.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p16.smt2,,ok,unsat,17.7,0,17.5,67.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p17.smt2,,ok,unsat,16.8,0,16.7,66.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p18.smt2,,ok,unsat,16.2,0,16.0,66.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p19.smt2,,ok,unsat,15.1,0,15.0,65.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p2.smt2,,ok,unsat,18.3,0,18.0,66.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p20.smt2,,ok,unsat,66.7,0,66.6,84.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p21.smt2,,ok,unsat,42.4,0,42.3,82.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p22.smt2,,ok,unsat,13.7,0,13.6,66.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p23.smt2,,ok,unsat,25.2,0,25.2,66.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p24.smt2,,ok,unsat,18.5,0,18.3,67.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p25.smt2,,ok,unsat,37.5,0,37.3,84.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p26.smt2,,ok,unsat,14.6,0,14.5,65.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p27.smt2,,ok,unsat,30.9,0,30.7,68.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p28.smt2,,ok,unsat,13.6,0,13.5,66.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p29.smt2,,ok,unsat,20.9,0,20.6,82.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p3.smt2,,ok,unsat,239.8,0,239.6,87.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p30.smt2,,ok,unsat,21.4,0,21.3,67.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p31.smt2,,ok,unsat,20.1,0,19.9,66.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p32.smt2,,ok,unsat,14.5,0,14.5,67.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p33.smt2,,ok,unsat,44.1,0,44.0,84.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p34.smt2,,ok,unsat,29.3,0,29.2,84.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p35.smt2,,ok,unsat,16.4,0,16.3,67.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p36.smt2,,ok,unsat,21.5,0,21.4,83.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p4.smt2,,ok,unsat,1007.7,0,1007.7,104.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p5.smt2,,ok,unsat,14.4,0,14.4,66.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p6.smt2,,ok,unsat,13.7,0,13.6,65.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p7.smt2,,ok,unsat,10.8,0,10.7,66.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p8.smt2,,ok,unsat,21.5,0,21.4,67.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p9.smt2,,ok,unsat,15.1,0,15.1,67.3
